anio,trimestre,provincia_id,Accesos_cada_100_hogares,Accesos_cada_100_habitantes
2014,1,PR01,54.57,16.69
2014,1,PR02,112.25,42.66
2014,1,PR03,24.25,6.18
2014,1,PR04,20.72,5.55
2014,1,PR05,41.24,12.7
2014,1,PR06,52.52,16.13
2014,1,PR07,22.32,5.89
2014,1,PR08,34.37,10.3
2014,1,PR09,17.42,4.44
2014,1,PR10,18.42,4.72
2014,1,PR11,48.43,15.99
2014,1,PR12,16.29,4.35
2014,1,PR13,31.91,8.93
2014,1,PR14,23.14,6.32
2014,1,PR15,49.79,14.88
2014,1,PR16,44.91,13.87
2014,1,PR17,28.7,6.98
2014,1,PR18,27.6,7.05
2014,1,PR19,9.35,2.68
2014,1,PR20,28.94,8.68
2014,1,PR21,47.85,15.08
2014,1,PR22,16.31,4.06
2014,1,PR23,63.97,19.1
2014,1,PR24,33.42,8.31
2014,2,PR01,55.06,16.79
2014,2,PR02,113.14,42.97
2014,2,PR03,24.7,6.28
2014,2,PR04,20.96,5.6
2014,2,PR05,41.41,12.7
2014,2,PR06,53.45,16.37
2014,2,PR07,22.58,5.95
2014,2,PR08,34.69,10.37
2014,2,PR09,17.54,4.46
2014,2,PR10,18.71,4.78
2014,2,PR11,49.71,16.38
2014,2,PR12,16.5,4.39
2014,2,PR13,32.1,8.96
2014,2,PR14,23.37,6.37
2014,2,PR15,50.84,15.14
2014,2,PR16,45.33,13.95
2014,2,PR17,28.91,7.0
2014,2,PR18,27.78,7.08
2014,2,PR19,9.72,2.78
2014,2,PR20,29.38,8.74
2014,2,PR21,48.39,15.22
2014,2,PR22,16.7,4.14
2014,2,PR23,64.36,19.09
2014,2,PR24,33.94,8.41
2014,3,PR01,56.75,17.26
2014,3,PR02,113.8,43.21
2014,3,PR03,24.71,6.27
2014,3,PR04,21.11,5.63
2014,3,PR05,40.6,12.39
2014,3,PR06,54.23,16.56
2014,3,PR07,22.79,5.99
2014,3,PR08,34.98,10.43
2014,3,PR09,17.77,4.51
2014,3,PR10,18.37,4.68
2014,3,PR11,55.78,18.34
2014,3,PR12,16.51,4.38
2014,3,PR13,32.31,8.99
2014,3,PR14,23.57,6.4
2014,3,PR15,56.4,16.73
2014,3,PR16,46.2,14.16
2014,3,PR17,29.22,7.05
2014,3,PR18,27.85,7.08
2014,3,PR19,9.71,2.77
2014,3,PR20,28.23,8.34
2014,3,PR21,49.2,15.44
2014,3,PR22,16.49,4.08
2014,3,PR23,65.69,19.34
2014,3,PR24,33.94,8.38
2014,4,PR01,56.09,17.01
2014,4,PR02,114.9,43.6
2014,4,PR03,25.51,6.46
2014,4,PR04,21.87,5.81
2014,4,PR05,40.25,12.22
2014,4,PR06,54.7,16.66
2014,4,PR07,23.56,6.17
2014,4,PR08,36.03,10.72
2014,4,PR09,17.96,4.55
2014,4,PR10,19.6,4.98
2014,4,PR11,51.27,16.82
2014,4,PR12,17.01,4.5
2014,4,PR13,32.64,9.06
2014,4,PR14,24.16,6.54
2014,4,PR15,52.55,15.53
2014,4,PR16,45.48,13.89
2014,4,PR17,29.53,7.1
2014,4,PR18,28.04,7.1
2014,4,PR19,9.79,2.78
2014,4,PR20,27.8,8.16
2014,4,PR21,50.0,15.66
2014,4,PR22,17.27,4.26
2014,4,PR23,66.14,19.34
2014,4,PR24,35.32,8.69
2015,1,PR01,56.37,17.24
2015,1,PR02,114.9,43.66
2015,1,PR03,25.11,6.4
2015,1,PR04,26.65,7.14
2015,1,PR05,37.61,11.59
2015,1,PR06,54.7,16.79
2015,1,PR07,28.95,7.64
2015,1,PR08,42.07,12.61
2015,1,PR09,18.12,4.62
2015,1,PR10,19.69,5.05
2015,1,PR11,55.51,18.33
2015,1,PR12,16.7,4.46
2015,1,PR13,32.37,9.06
2015,1,PR14,26.31,7.19
2015,1,PR15,51.95,15.53
2015,1,PR16,45.33,13.99
2015,1,PR17,30.01,7.29
2015,1,PR18,27.55,7.04
2015,1,PR19,9.72,2.79
2015,1,PR20,27.99,8.39
2015,1,PR21,50.24,15.83
2015,1,PR22,17.06,4.24
2015,1,PR23,74.23,22.17
2015,1,PR24,35.08,8.72
2015,2,PR01,56.8,17.33
2015,2,PR02,116.07,44.08
2015,2,PR03,25.45,6.48
2015,2,PR04,27.46,7.34
2015,2,PR05,36.58,11.22
2015,2,PR06,55.87,17.11
2015,2,PR07,29.58,7.79
2015,2,PR08,42.93,12.84
2015,2,PR09,18.36,4.67
2015,2,PR10,20.29,5.19
2015,2,PR11,56.71,18.69
2015,2,PR12,16.88,4.49
2015,2,PR13,32.49,9.07
2015,2,PR14,27.35,7.45
2015,2,PR15,53.12,15.81
2015,2,PR16,45.98,14.14
2015,2,PR17,30.46,7.38
2015,2,PR18,27.64,7.04
2015,2,PR19,9.71,2.78
2015,2,PR20,27.07,8.06
2015,2,PR21,51.18,16.09
2015,2,PR22,17.11,4.25
2015,2,PR23,74.51,22.1
2015,2,PR24,35.69,8.84
2015,3,PR01,57.69,17.55
2015,3,PR02,118.29,44.91
2015,3,PR03,25.86,6.56
2015,3,PR04,27.96,7.45
2015,3,PR05,36.81,11.23
2015,3,PR06,57.08,17.43
2015,3,PR07,30.17,7.93
2015,3,PR08,43.68,13.03
2015,3,PR09,18.84,4.78
2015,3,PR10,21.27,5.42
2015,3,PR11,57.96,19.06
2015,3,PR12,17.15,4.55
2015,3,PR13,32.49,9.04
2015,3,PR14,28.31,7.69
2015,3,PR15,54.6,16.2
2015,3,PR16,46.39,14.22
2015,3,PR17,31.18,7.53
2015,3,PR18,27.67,7.03
2015,3,PR19,9.71,2.77
2015,3,PR20,27.61,8.16
2015,3,PR21,52.15,16.36
2015,3,PR22,17.12,4.24
2015,3,PR23,74.86,22.05
2015,3,PR24,36.61,9.04
2015,4,PR01,58.29,17.68
2015,4,PR02,118.13,44.83
2015,4,PR03,26.24,6.64
2015,4,PR04,28.35,7.54
2015,4,PR05,36.89,11.21
2015,4,PR06,57.36,17.47
2015,4,PR07,30.34,7.95
2015,4,PR08,44.11,13.12
2015,4,PR09,19.07,4.83
2015,4,PR10,21.47,5.46
2015,4,PR11,58.76,19.27
2015,4,PR12,17.32,4.58
2015,4,PR13,32.49,9.02
2015,4,PR14,28.69,7.77
2015,4,PR15,58.29,17.23
2015,4,PR16,46.44,14.19
2015,4,PR17,31.59,7.6
2015,4,PR18,27.66,7.01
2015,4,PR19,9.71,2.76
2015,4,PR20,27.74,8.14
2015,4,PR21,52.61,16.47
2015,4,PR22,17.0,4.2
2015,4,PR23,66.46,19.44
2015,4,PR24,37.06,9.12
2016,1,PR01,57.34,17.54
2016,1,PR02,115.16,43.76
2016,1,PR03,25.91,6.61
2016,1,PR04,28.08,7.52
2016,1,PR05,36.09,11.12
2016,1,PR06,55.28,16.97
2016,1,PR07,30.08,7.94
2016,1,PR08,43.85,13.14
2016,1,PR09,19.04,4.86
2016,1,PR10,21.41,5.49
2016,1,PR11,57.84,19.1
2016,1,PR12,16.83,4.5
2016,1,PR13,32.12,8.99
2016,1,PR14,28.37,7.75
2016,1,PR15,55.75,16.66
2016,1,PR16,45.84,14.15
2016,1,PR17,31.32,7.61
2016,1,PR18,27.33,6.98
2016,1,PR19,9.59,2.75
2016,1,PR20,26.87,8.05
2016,1,PR21,51.28,16.16
2016,1,PR22,16.21,4.03
2016,1,PR23,65.83,19.65
2016,1,PR24,36.72,9.13
2016,2,PR01,59.34,18.1
2016,2,PR02,120.04,45.59
2016,2,PR03,26.07,6.63
