anio,trimestre,tecnologia_id,accesos
2014,1,TEC1,3697066
2014,2,TEC1,3708882
2014,3,TEC1,3714764
2014,4,TEC1,3764038
2015,1,TEC1,3756153
2015,2,TEC1,3767821
2015,3,TEC1,3788696
2015,4,TEC1,3803024
2016,1,TEC1,3792493
2016,2,TEC1,3782085
2016,3,TEC1,3776442
2016,4,TEC1,3722794
2017,1,TEC1,3708898
2017,2,TEC1,3723518
2017,3,TEC1,3622575
2017,4,TEC1,3584311
2018,1,TEC1,3574294
2018,2,TEC1,3557216
2018,3,TEC1,3521447
2018,4,TEC1,3329027
2019,1,TEC1,3132789
2019,2,TEC1,2990457
2019,3,TEC1,2909805
2019,4,TEC1,2414575
2020,1,TEC1,2299457
2020,2,TEC1,2295533
2020,3,TEC1,2263889
2020,4,TEC1,2213949
2021,1,TEC1,2175211
2021,2,TEC1,2018587
2021,3,TEC1,1950631
2021,4,TEC1,1657615
2022,1,TEC1,1533240
2022,2,TEC1,1468333
2022,3,TEC1,1395277
2022,4,TEC1,1315373
2023,1,TEC1,1204417
2023,2,TEC1,1006509
2023,3,TEC1,897895
2023,4,TEC1,836390
2024,1,TEC1,774475
2024,2,TEC1,733491
2024,3,TEC1,721676
2024,4,TEC1,521297
2025,1,TEC1,485049
2014,1,TEC2,2407330
2014,2,TEC2,2461670
2014,3,TEC2,2569868
2014,4,TEC2,2536219
2015,1,TEC2,2668248
2015,2,TEC2,2756294
2015,3,TEC2,2840203
2015,4,TEC2,2898226
2016,1,TEC2,2806359
2016,2,TEC2,3035272
2016,3,TEC2,3124855
2016,4,TEC2,3210602
2017,1,TEC2,3276251
2017,2,TEC2,3383434
2017,3,TEC2,3670221
2017,4,TEC2,3818157
2018,1,TEC2,3981129
2018,2,TEC2,4038141
2018,3,TEC2,4238171
2018,4,TEC2,4313831
2019,1,TEC2,4435439
2019,2,TEC2,4635575
2019,3,TEC2,4800091
2019,4,TEC2,4883869
2020,1,TEC2,4903674
2020,2,TEC2,5005115
2020,3,TEC2,5259351
2020,4,TEC2,5371824
2021,1,TEC2,5424782
2021,2,TEC2,5641731
2021,3,TEC2,5826257
2021,4,TEC2,5984240
2022,1,TEC2,6073426
2022,2,TEC2,5979214
2022,3,TEC2,6031970
2022,4,TEC2,6037457
2023,1,TEC2,6002582
2023,2,TEC2,5997149
2023,3,TEC2,6018832
2023,4,TEC2,6022532
2024,1,TEC2,5986957
2024,2,TEC2,5867504
2024,3,TEC2,5787585
2024,4,TEC2,5625728
2025,1,TEC2,5610147
2014,1,TEC4,70749
2014,2,TEC4,72405
2014,3,TEC4,85096
2014,4,TEC4,76984
2015,1,TEC4,79098
2015,2,TEC4,82077
2015,3,TEC4,84530
2015,4,TEC4,85726
2016,1,TEC4,85370
2016,2,TEC4,85452
2016,3,TEC4,81455
2016,4,TEC4,85119
2017,1,TEC4,84813
2017,2,TEC4,85813
2017,3,TEC4,106443
2017,4,TEC4,155775
2018,1,TEC4,165300
2018,2,TEC4,194267
2018,3,TEC4,246181
2018,4,TEC4,264299
2019,1,TEC4,276419
2019,2,TEC4,308027
2019,3,TEC4,338241
2019,4,TEC4,340144
2020,1,TEC4,352333
2020,2,TEC4,376667
2020,3,TEC4,413259
2020,4,TEC4,421554
2021,1,TEC4,434548
2021,2,TEC4,476968
2021,3,TEC4,492415
2021,4,TEC4,523107
2022,1,TEC4,545814
2022,2,TEC4,556243
2022,3,TEC4,557110
2022,4,TEC4,572969
2023,1,TEC4,576647
2023,2,TEC4,581823
2023,3,TEC4,581436
2023,4,TEC4,585760
2024,1,TEC4,598682
2024,2,TEC4,593197
2024,3,TEC4,608325
2024,4,TEC4,599299
2025,1,TEC4,589887
2014,1,TEC5,72930
2014,2,TEC5,72148
2014,3,TEC5,70049
2014,4,TEC5,71573
2015,1,TEC5,66045
2015,2,TEC5,59157
2015,3,TEC5,58976
2015,4,TEC5,58668
2016,1,TEC5,58763
2016,2,TEC5,59482
2016,3,TEC5,54300
2016,4,TEC5,55088
2017,1,TEC5,55746
2017,2,TEC5,56122
2017,3,TEC5,131740
2017,4,TEC5,100554
2018,1,TEC5,98870
2018,2,TEC5,94535
2018,3,TEC5,93870
2018,4,TEC5,178485
2019,1,TEC5,166389
2019,2,TEC5,265328
2019,3,TEC5,264326
2019,4,TEC5,213298
2020,1,TEC5,209145
2020,2,TEC5,247016
2020,3,TEC5,248821
2020,4,TEC5,253036
2021,1,TEC5,250455
2021,2,TEC5,253552
2021,3,TEC5,250190
2021,4,TEC5,252596
2022,1,TEC5,251996
2022,2,TEC5,231609
2022,3,TEC5,235230
2022,4,TEC5,221740
2023,1,TEC5,214838
2023,2,TEC5,202428
2023,3,TEC5,200027
2023,4,TEC5,194796
2024,1,TEC5,257941
2024,2,TEC5,191957
2024,3,TEC5,264037
2024,4,TEC5,304133
2025,1,TEC5,374719
