anio,trimestre,provincia_id,accesos
2014,1,PR01,2363240
2014,1,PR02,691440
2014,1,PR03,18239
2014,1,PR04,88112
2014,1,PR05,68671
2014,1,PR06,511023
2014,1,PR07,61056
2014,1,PR08,109137
2014,1,PR09,30013
2014,1,PR10,64535
2014,1,PR11,67773
2014,1,PR12,25108
2014,1,PR13,106933
2014,1,PR14,99220
2014,1,PR15,105837
2014,1,PR16,40129
2014,1,PR17,123120
2014,1,PR18,42011
2014,1,PR19,16869
2014,1,PR20,21133
2014,1,PR21,546523
2014,1,PR22,92972
2014,1,PR23,29886
2014,1,PR24,111552
2014,2,PR01,2477696
2014,2,PR02,692311
2014,2,PR03,27382
2014,2,PR04,85726
2014,2,PR05,68578
2014,2,PR06,974174
2014,2,PR07,88423
2014,2,PR08,148123
2014,2,PR09,46553
2014,2,PR10,71984
2014,2,PR11,76732
2014,2,PR12,25071
2014,2,PR13,116281
2014,2,PR14,114366
2014,2,PR15,154762
2014,2,PR16,58097
2014,2,PR17,166019
2014,2,PR18,42146
2014,2,PR19,55697
2014,2,PR20,46547
2014,2,PR21,650114
2014,2,PR22,96849
2014,2,PR23,34726
2014,2,PR24,120165
2014,3,PR01,2479337
2014,3,PR02,689381
2014,3,PR03,27544
2014,3,PR04,85608
2014,3,PR05,68472
2014,3,PR06,975850
2014,3,PR07,89802
2014,3,PR08,150597
2014,3,PR09,46428
2014,3,PR10,73976
2014,3,PR11,77927
2014,3,PR12,24594
2014,3,PR13,116918
2014,3,PR14,115847
2014,3,PR15,154805
2014,3,PR16,58165
2014,3,PR17,166681
2014,3,PR18,42753
2014,3,PR19,54824
2014,3,PR20,43728
2014,3,PR21,654067
2014,3,PR22,97796
2014,3,PR23,35025
2014,3,PR24,119720
2014,4,PR01,2492829
2014,4,PR02,690404
2014,4,PR03,28249
2014,4,PR04,91003
2014,4,PR05,68381
2014,4,PR06,976250
2014,4,PR07,91210
2014,4,PR08,151868
2014,4,PR09,46590
2014,4,PR10,79331
2014,4,PR11,79733
2014,4,PR12,26337
2014,4,PR13,116149
2014,4,PR14,112595
2014,4,PR15,154765
2014,4,PR16,58053
2014,4,PR17,166843
2014,4,PR18,42970
2014,4,PR19,55289
2014,4,PR20,44012
2014,4,PR21,652071
2014,4,PR22,98334
2014,4,PR23,34741
