anio,trimestre,provincia_id,tv_sus_100hab,tv_sus_100hog
2014,1,PR01,14.34,47.07
2014,1,PR02,22.68,59.71
2014,1,PR03,4.64,18.25
2014,1,PR04,7.79,29.18
2014,1,PR05,12.34,40.33
2014,1,PR06,14.48,47.34
2014,1,PR07,5.76,21.89
2014,1,PR08,8.34,27.92
2014,1,PR09,5.23,20.56
2014,1,PR10,8.98,35.13
2014,1,PR11,19.94,60.56
2014,1,PR12,6.92,26.04
2014,1,PR13,5.74,20.58
2014,1,PR14,8.45,31.04
2014,1,PR15,17.34,58.31
2014,1,PR16,5.83,18.96
2014,2,PR01,15.04,49.35
2014,2,PR02,22.7,59.78
2014,2,PR03,6.97,27.4
2014,2,PR04,7.58,28.39
2014,2,PR05,12.33,40.27
2014,2,PR06,27.61,90.25
2014,2,PR07,8.34,31.71
2014,2,PR08,11.32,37.9
2014,2,PR09,8.11,31.9
2014,2,PR10,10.01,39.19
2014,2,PR11,22.58,68.57
2014,2,PR12,6.91,26.0
2014,2,PR13,6.24,22.38
2014,2,PR14,9.74,35.78
2014,2,PR15,25.35,85.26
2014,2,PR16,8.43,27.45
2014,2,PR17,12.63,52.19
2014,2,PR18,5.77,22.67
2014,2,PR19,11.85,41.46
2014,2,PR20,14.95,50.33
2014,2,PR21,19.29,61.4
2014,2,PR22,10.55,42.54
2014,2,PR23,23.44,79.22
2014,2,PR24,7.64,30.88
2014,3,PR01,15.05,49.38
2014,3,PR02,22.61,59.53
2014,3,PR03,7.01,27.57
2014,3,PR04,7.57,28.35
2014,3,PR05,12.31,40.21
2014,3,PR06,27.65,90.4
2014,3,PR07,8.47,32.2
2014,3,PR08,11.51,38.53
2014,3,PR09,8.09,31.81
2014,3,PR10,10.29,40.27
2014,3,PR11,22.93,69.63
2014,3,PR12,6.78,25.51
2014,3,PR13,6.27,22.5
2014,3,PR14,9.86,36.24
2014,3,PR15,25.36,85.28
2014,3,PR16,8.44,27.48
2014,3,PR17,12.68,52.4
2014,3,PR18,5.85,23.0
2014,3,PR19,11.67,40.81
2014,3,PR20,14.04,47.28
2014,3,PR21,19.41,61.77
2014,3,PR22,10.65,42.95
2014,3,PR23,23.64,79.91
2014,3,PR24,7.61,30.77
2014,4,PR01,15.13,49.65
2014,4,PR02,22.64,59.62
2014,4,PR03,7.19,28.27
2014,4,PR04,8.05,30.14
2014,4,PR05,12.29,40.15
2014,4,PR06,27.67,90.44
2014,4,PR07,8.61,32.71
2014,4,PR08,11.61,38.85
2014,4,PR09,8.12,31.92
2014,4,PR10,11.03,43.19
2014,4,PR11,23.46,71.25
2014,4,PR12,7.26,27.31
2014,4,PR13,6.23,22.35
2014,4,PR14,9.59,35.23
2014,4,PR15,25.35,85.26
2014,4,PR16,8.43,27.43
2014,4,PR17,12.69,52.45
2014,4,PR18,5.88,23.12
2014,4,PR19,11.77,41.16
2014,4,PR20,14.13,47.59
2014,4,PR21,19.35,61.59
2014,4,PR22,10.71,43.19
