provincia,partido,localidad,tecnologia,link_indec,accesos
Buenos Aires,25 de Mayo,25 de Mayo,ADSL,6854100,529
Buenos Aires,25 de Mayo,25 de Mayo,CABLEMODEM,6854100,4600
Buenos Aires,25 de Mayo,25 de Mayo,FIBRA OPTICA,6854100,4
Buenos Aires,25 de Mayo,25 de Mayo,SATELITAL,6854100,895
Buenos Aires,25 de Mayo,25 de Mayo,WIRELESS,6854100,727
Buenos Aires,25 de Mayo,Agustín Mosconi,SATELITAL,6854010,13
Buenos Aires,25 de Mayo,Del Valle,ADSL,6854020,181
Buenos Aires,25 de Mayo,Del Valle,Otros,6854020,10
Buenos Aires,25 de Mayo,Del Valle,SATELITAL,6854020,18
Buenos Aires,25 de Mayo,Ernestina,ADSL,6854030,75
Buenos Aires,25 de Mayo,Ernestina,SATELITAL,6854030,7
Buenos Aires,25 de Mayo,Gobernador Ugarte,FIBRA OPTICA,6854040,7
Buenos Aires,25 de Mayo,Gobernador Ugarte,SATELITAL,6854040,8
Buenos Aires,25 de Mayo,Gobernador Ugarte,WIRELESS,6854040,225
Buenos Aires,25 de Mayo,Lucas Monteverde,SATELITAL,6854050,13
Buenos Aires,25 de Mayo,Norberto de la Riestra,CABLEMODEM,6854060,782
Buenos Aires,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,6854060,950
Buenos Aires,25 de Mayo,Norberto de la Riestra,Otros,6854060,20
Buenos Aires,25 de Mayo,Norberto de la Riestra,SATELITAL,6854060,29
Buenos Aires,25 de Mayo,Norberto de la Riestra,WIRELESS,6854060,128
Buenos Aires,25 de Mayo,Pedernales,ADSL,6854070,372
Buenos Aires,25 de Mayo,Pedernales,FIBRA OPTICA,6854070,240
Buenos Aires,25 de Mayo,Pedernales,SATELITAL,6854070,10
Buenos Aires,25 de Mayo,Pedernales,WIRELESS,6854070,7
Buenos Aires,25 de Mayo,San Enrique,SATELITAL,6854080,17
Buenos Aires,25 de Mayo,Valdés,SATELITAL,6854090,23
Buenos Aires,9 de Julio,12 de Octubre,SATELITAL,6588030,17
Buenos Aires,9 de Julio,12 de Octubre,WIRELESS,6588030,19
Buenos Aires,9 de Julio,9 de Julio,ADSL,6588100,3147
Buenos Aires,9 de Julio,9 de Julio,CABLEMODEM,6588100,3443
Buenos Aires,9 de Julio,9 de Julio,DIAL UP,6588100,79
Buenos Aires,9 de Julio,9 de Julio,FIBRA OPTICA,6588100,8778
Buenos Aires,9 de Julio,9 de Julio,SATELITAL,6588100,69
Buenos Aires,9 de Julio,9 de Julio,WIRELESS,6588100,831
Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,6588010,450
Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),Otros,6588010,60
Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),SATELITAL,6588010,15
Buenos Aires,9 de Julio,Carlos María Naón,FIBRA OPTICA,6588020,62
