provincia,partido,localidad,linkindec,velocidad,accesos
Buenos Aires,25 de Mayo,25 de Mayo,6854100,0.0,2
Buenos Aires,25 de Mayo,25 de Mayo,6854100,0.5,2
Buenos Aires,25 de Mayo,25 de Mayo,6854100,1.0,7
Buenos Aires,25 de Mayo,25 de Mayo,6854100,2.0,1
Buenos Aires,25 de Mayo,25 de Mayo,6854100,3.0,107
Buenos Aires,25 de Mayo,25 de Mayo,6854100,5.0,1
Buenos Aires,25 de Mayo,25 de Mayo,6854100,6.0,51
Buenos Aires,25 de Mayo,25 de Mayo,6854100,10.0,303
Buenos Aires,25 de Mayo,25 de Mayo,6854100,12.0,336
Buenos Aires,25 de Mayo,25 de Mayo,6854100,14.0,2
Buenos Aires,25 de Mayo,25 de Mayo,6854100,15.0,264
Buenos Aires,25 de Mayo,25 de Mayo,6854100,20.0,153
Buenos Aires,25 de Mayo,25 de Mayo,6854100,25.0,84
Buenos Aires,25 de Mayo,25 de Mayo,6854100,30.0,2060
Buenos Aires,25 de Mayo,25 de Mayo,6854100,40.0,13
Buenos Aires,25 de Mayo,25 de Mayo,6854100,50.0,1297
Buenos Aires,25 de Mayo,25 de Mayo,6854100,80.0,6
Buenos Aires,25 de Mayo,25 de Mayo,6854100,100.0,1515
Buenos Aires,25 de Mayo,25 de Mayo,6854100,226.5,153
Buenos Aires,25 de Mayo,25 de Mayo,6854100,300.0,94
Buenos Aires,25 de Mayo,25 de Mayo,6854100,500.0,3
Buenos Aires,25 de Mayo,Agustín Mosconi,6854010,12.0,21
Buenos Aires,25 de Mayo,Agustín Mosconi,6854010,20.0,10
Buenos Aires,25 de Mayo,Agustín Mosconi,6854010,226.5,13
Buenos Aires,25 de Mayo,Del Valle,6854020,0.5,1
Buenos Aires,25 de Mayo,Del Valle,6854020,3.0,181
Buenos Aires,25 de Mayo,Del Valle,6854020,10.0,10
Buenos Aires,25 de Mayo,Del Valle,6854020,226.5,17
Buenos Aires,25 de Mayo,Ernestina,6854030,5.0,75
Buenos Aires,25 de Mayo,Ernestina,6854030,226.5,7
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,6.0,154
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,8.0,58
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,10.0,2
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,12.0,8
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,15.0,7
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,30.0,2
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,65.0,1
Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040,226.5,8
Buenos Aires,25 de Mayo,Lucas Monteverde,6854050,226.5,13
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,2.0,83
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,3.0,25
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,4.0,5
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,5.0,5
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,6.0,862
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,10.0,1
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,15.0,742
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,25.0,91
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,50.0,56
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,70.0,4
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,100.0,6
Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060,226.5,29
Buenos Aires,25 de Mayo,Pedernales,6854070,6.0,2
Buenos Aires,25 de Mayo,Pedernales,6854070,10.0,374
Buenos Aires,25 de Mayo,Pedernales,6854070,15.0,3
Buenos Aires,25 de Mayo,Pedernales,6854070,50.0,240
Buenos Aires,25 de Mayo,Pedernales,6854070,226.5,10
Buenos Aires,25 de Mayo,San Enrique,6854080,12.0,38
Buenos Aires,25 de Mayo,San Enrique,6854080,20.0,11
Buenos Aires,25 de Mayo,San Enrique,6854080,226.5,17
Buenos Aires,25 de Mayo,Valdés,6854090,12.0,64
Buenos Aires,25 de Mayo,Valdés,6854090,20.0,20
Buenos Aires,25 de Mayo,Valdés,6854090,226.5,23
Buenos Aires,9 de Julio,12 de Octubre,6588030,3.0,11
Buenos Aires,9 de Julio,12 de Octubre,6588030,226.5,17
Buenos Aires,9 de Julio,9 de Julio,6588100,1.0,6
Buenos Aires,9 de Julio,9 de Julio,6588100,3.0,217
Buenos Aires,9 de Julio,9 de Julio,6588100,5.0,169
Buenos Aires,9 de Julio,9 de Julio,6588100,6.0,32
Buenos Aires,9 de Julio,9 de Julio,6588100,7.0,235
Buenos Aires,9 de Julio,9 de Julio,6588100,8.0,1
Buenos Aires,9 de Julio,9 de Julio,6588100,10.0,94
Buenos Aires,9 de Julio,9 de Julio,6588100,15.0,7440
