anio,trimestre,provincia,velocidad,accesos
2017,4,Buenos Aires,0.256,114182
2017,4,Buenos Aires,0.512,3865
2017,4,Buenos Aires,1000.0,35185
2017,4,Buenos Aires,1200.0,19861
2017,4,Buenos Aires,2200.0,29124
2017,4,Buenos Aires,3200.0,26245
2017,4,Buenos Aires,4000.0,142091
2017,4,Buenos Aires,4500.0,3277
2017,4,Buenos Aires,6000.0,4087
2017,4,Buenos Aires,6400.0,1346370
2017,4,Buenos Aires,7500.0,1764
2017,4,Buenos Aires,9000.0,12080
2017,4,Buenos Aires,10000.0,79
2017,4,Buenos Aires,10100.0,250722
2017,4,Buenos Aires,12000.0,4
2017,4,Buenos Aires,12300.0,440198
2017,4,Buenos Aires,14000.0,2
2017,4,Buenos Aires,15000.0,1
2017,4,Buenos Aires,16000.0,45163
2017,4,Buenos Aires,17000.0,112
2017,4,Buenos Aires,19000.0,51889
2017,4,Buenos Aires,20500.0,175144
2017,4,Buenos Aires,22000.0,1
2017,4,Buenos Aires,25000.0,2
2017,4,Buenos Aires,25100.0,153722
2017,4,Buenos Aires,31000.0,183194
2017,4,Buenos Aires,41000.0,13
2017,4,Buenos Aires,50000.0,1
2017,4,Buenos Aires,50100.0,124942
2017,4,Buenos Aires,61000.0,1
2017,4,Buenos Aires,71000.0,2
2017,4,Buenos Aires,97000.0,1
2017,4,Buenos Aires,100100.0,24786
2017,4,Buenos Aires,122000.0,2
2017,4,Buenos Aires,155000.0,220
2017,4,CABA,0.512,314
2017,4,CABA,1000.0,701
2017,4,CABA,1200.0,30710
2017,4,CABA,2200.0,788
2017,4,CABA,3200.0,1892
2017,4,CABA,4000.0,4051
2017,4,CABA,4500.0,1049
2017,4,CABA,6000.0,5774
2017,4,CABA,6400.0,503464
2017,4,CABA,7500.0,19
2017,4,CABA,9000.0,922
2017,4,CABA,10000.0,5
2017,4,CABA,10100.0,283094
2017,4,CABA,12000.0,5
2017,4,CABA,12300.0,290212
2017,4,CABA,16000.0,1217
2017,4,CABA,17000.0,3
2017,4,CABA,18000.0,1
2017,4,CABA,19000.0,40974
2017,4,CABA,20500.0,125708
2017,4,CABA,25000.0,1
2017,4,CABA,25100.0,117018
2017,4,CABA,31000.0,62693
2017,4,CABA,36000.0,7
2017,4,CABA,41000.0,22
2017,4,CABA,50100.0,91194
2017,4,CABA,61000.0,8
2017,4,CABA,66000.0,1
2017,4,CABA,71000.0,5
2017,4,CABA,81000.0,2
2017,4,CABA,100100.0,19785
2017,4,CABA,120000.0,2
2017,4,CABA,122000.0,6
2017,4,CABA,131000.0,2
2017,4,CABA,155000.0,2589
2017,4,Catamarca,0.256,2151
2017,4,Catamarca,0.512,34
2017,4,Catamarca,1000.0,1
2017,4,Catamarca,1200.0,3181
2017,4,Catamarca,3200.0,43
2017,4,Catamarca,4000.0,198
2017,4,Catamarca,6400.0,15074
2017,4,Catamarca,10100.0,5904
2017,4,Catamarca,16000.0,2
2017,4,Catamarca,20500.0,2925
2017,4,Catamarca,31000.0,43
2017,4,Catamarca,155000.0,2
2017,4,Chaco,0.256,1035
2017,4,Chaco,0.512,70
2017,4,Chaco,1000.0,1
2017,4,Chaco,1200.0,3431
2017,4,Chaco,2200.0,22
2017,4,Chaco,3200.0,34
2017,4,Chaco,4000.0,1310
2017,4,Chaco,4500.0,6536
2017,4,Chaco,6000.0,8
2017,4,Chaco,6400.0,29234
2017,4,Chaco,9000.0,8917
2017,4,Chaco,10100.0,15171
2017,4,Chaco,12300.0,8521
2017,4,Chaco,16000.0,26
2017,4,Chaco,19000.0,723
2017,4,Chaco,20500.0,10853
2017,4,Chaco,25100.0,6646
2017,4,Chaco,31000.0,688
2017,4,Chaco,36000.0,522
2017,4,Chaco,46000.0,107
2017,4,Chaco,50100.0,2297
2017,4,Chaco,100100.0,259
2017,4,Chaco,155000.0,60
2017,4,Chubut,0.512,67
2017,4,Chubut,1000.0,3086
2017,4,Chubut,1200.0,1227
2017,4,Chubut,2200.0,1104
2017,4,Chubut,3200.0,7760
2017,4,Chubut,4000.0,8261
2017,4,Chubut,4500.0,534
2017,4,Chubut,6000.0,54
2017,4,Chubut,6400.0,65963
2017,4,Chubut,9000.0,2543
2017,4,Chubut,10100.0,2812
2017,4,Chubut,12300.0,4
2017,4,Chubut,16000.0,3
2017,4,Chubut,25100.0,3
2017,4,Chubut,31000.0,2
2017,4,Chubut,50100.0,9
2017,4,Córdoba,0.256,8429
2017,4,Córdoba,0.512,291
2017,4,Córdoba,1000.0,3524
2017,4,Córdoba,1200.0,21887
2017,4,Córdoba,2200.0,1340
2017,4,Córdoba,3200.0,6748
2017,4,Córdoba,4000.0,59998
2017,4,Córdoba,4500.0,2663
2017,4,Córdoba,6000.0,5115
2017,4,Córdoba,6400.0,204973
2017,4,Córdoba,7500.0,133
2017,4,Córdoba,9000.0,10535
2017,4,Córdoba,10100.0,92224
2017,4,Córdoba,12000.0,2
2017,4,Córdoba,12300.0,135753
2017,4,Córdoba,16000.0,1093
2017,4,Córdoba,19000.0,15370
2017,4,Córdoba,20500.0,65384
2017,4,Córdoba,25100.0,36394
2017,4,Córdoba,31000.0,4651
2017,4,Córdoba,50100.0,19186
2017,4,Córdoba,66000.0,1
2017,4,Córdoba,71000.0,1
2017,4,Córdoba,100100.0,2577
2017,4,Córdoba,155000.0,2339
2017,4,Corrientes,0.512,11
2017,4,Corrientes,1200.0,5220
2017,4,Corrientes,2200.0,1337
2017,4,Corrientes,3200.0,43
2017,4,Corrientes,4000.0,793
2017,4,Corrientes,4500.0,6923
2017,4,Corrientes,6000.0,1
2017,4,Corrientes,6400.0,31983
2017,4,Corrientes,9000.0,8585
2017,4,Corrientes,10100.0,15101
2017,4,Corrientes,12300.0,7353
2017,4,Corrientes,16000.0,21
2017,4,Corrientes,19000.0,717
2017,4,Corrientes,20500.0,7955
2017,4,Corrientes,25100.0,4860
2017,4,Corrientes,31000.0,207
2017,4,Corrientes,36000.0,488
2017,4,Corrientes,46000.0,131
2017,4,Corrientes,50100.0,1814
2017,4,Corrientes,100100.0,216
2017,4,Corrientes,155000.0,12
2017,4,Entre Ríos,0.512,1685
2017,4,Entre Ríos,1000.0,7
2017,4,Entre Ríos,1200.0,9071
2017,4,Entre Ríos,2200.0,3420
2017,4,Entre Ríos,3200.0,1903
2017,4,Entre Ríos,4000.0,14662
2017,4,Entre Ríos,4500.0,11377
2017,4,Entre Ríos,6000.0,984
2017,4,Entre Ríos,6400.0,63120
2017,4,Entre Ríos,9000.0,12885
2017,4,Entre Ríos,10000.0,1
2017,4,Entre Ríos,10100.0,32303
2017,4,Entre Ríos,12300.0,14708
2017,4,Entre Ríos,16000.0,19
2017,4,Entre Ríos,19000.0,1007
2017,4,Entre Ríos,20500.0,14276
2017,4,Entre Ríos,25100.0,7704
2017,4,Entre Ríos,31000.0,273
2017,4,Entre Ríos,36000.0,335
2017,4,Entre Ríos,46000.0,58
2017,4,Entre Ríos,50100.0,2721
2017,4,Entre Ríos,71000.0,1
2017,4,Entre Ríos,100100.0,319
2017,4,Entre Ríos,155000.0,660
2017,4,Formosa,0.512,1110
2017,4,Formosa,1000.0,191
2017,4,Formosa,1200.0,3870
2017,4,Formosa,2200.0,122
2017,4,Formosa,3200.0,342
2017,4,Formosa,4000.0,1202
2017,4,Formosa,6000.0,52
2017,4,Formosa,6400.0,11502
2017,4,Formosa,9000.0,1
2017,4,Formosa,10100.0,4866
2017,4,Formosa,12300.0,1638
2017,4,Formosa,16000.0,2
2017,4,Formosa,19000.0,29
2017,4,Formosa,20500.0,5327
2017,4,Formosa,25100.0,397
2017,4,Formosa,31000.0,584
2017,4,Formosa,50100.0,776
2017,4,Formosa,100100.0,31
2017,4,Formosa,155000.0,13
2017,4,Jujuy,0.512,345
2017,4,Jujuy,1000.0,2153
2017,4,Jujuy,1200.0,3211
2017,4,Jujuy,3200.0,13
2017,4,Jujuy,4000.0,9511
2017,4,Jujuy,6400.0,17042
2017,4,Jujuy,9000.0,36
2017,4,Jujuy,10100.0,7685
2017,4,Jujuy,16000.0,15
2017,4,Jujuy,20500.0,3492
2017,4,Jujuy,31000.0,44
2017,4,Jujuy,155000.0,3
2017,4,La Pampa,0.256,3503
2017,4,La Pampa,0.512,310
2017,4,La Pampa,1000.0,7350
2017,4,La Pampa,1200.0,1379
2017,4,La Pampa,2200.0,1213
2017,4,La Pampa,3200.0,3635
2017,4,La Pampa,4000.0,43451
2017,4,La Pampa,4500.0,1
2017,4,La Pampa,6000.0,4979
2017,4,La Pampa,6400.0,12774
2017,4,La Pampa,9000.0,1129
2017,4,La Pampa,10100.0,98
2017,4,La Pampa,12300.0,430
2017,4,La Pampa,16000.0,343
2017,4,La Pampa,19000.0,10
2017,4,La Pampa,20500.0,9
2017,4,La Pampa,25100.0,390
2017,4,La Pampa,31000.0,11
2017,4,La Pampa,50100.0,68
2017,4,La Pampa,100100.0,3
2017,4,La Rioja,0.512,9
2017,4,La Rioja,1000.0,1
2017,4,La Rioja,1200.0,1487
2017,4,La Rioja,3200.0,2
2017,4,La Rioja,4000.0,31591
2017,4,La Rioja,6400.0,9184
2017,4,La Rioja,10100.0,4083
2017,4,La Rioja,16000.0,3650
2017,4,La Rioja,20500.0,2163
2017,4,La Rioja,31000.0,24
2017,4,La Rioja,50100.0,1
2017,4,Mendoza,0.512,26
2017,4,Mendoza,1000.0,14
2017,4,Mendoza,1200.0,1642
2017,4,Mendoza,2200.0,2228
2017,4,Mendoza,3200.0,3326
2017,4,Mendoza,4000.0,13169
2017,4,Mendoza,4500.0,255
2017,4,Mendoza,6400.0,158668
2017,4,Mendoza,9000.0,13
2017,4,Mendoza,10000.0,250
2017,4,Mendoza,10100.0,175
2017,4,Mendoza,12300.0,78
2017,4,Mendoza,16000.0,63
2017,4,Mendoza,20500.0,137
2017,4,Mendoza,25100.0,20
2017,4,Mendoza,31000.0,28
2017,4,Mendoza,50100.0,56
2017,4,Mendoza,100100.0,6
2017,4,Misiones,0.512,1053
2017,4,Misiones,1200.0,3900
2017,4,Misiones,2200.0,18
2017,4,Misiones,3200.0,1909
2017,4,Misiones,4000.0,7
2017,4,Misiones,4500.0,4631
2017,4,Misiones,6000.0,10
2017,4,Misiones,6400.0,35148
2017,4,Misiones,9000.0,7414
2017,4,Misiones,10100.0,15717
2017,4,Misiones,12300.0,12350
2017,4,Misiones,16000.0,6
2017,4,Misiones,19000.0,816
2017,4,Misiones,20500.0,9090
2017,4,Misiones,25100.0,8585
2017,4,Misiones,31000.0,525
2017,4,Misiones,36000.0,96
2017,4,Misiones,46000.0,21
2017,4,Misiones,50100.0,2348
2017,4,Misiones,100100.0,233
2017,4,Misiones,155000.0,18
2017,4,Neuquén,0.256,6105
2017,4,Neuquén,0.512,1396
2017,4,Neuquén,1000.0,1075
2017,4,Neuquén,1200.0,1297
2017,4,Neuquén,2200.0,212
2017,4,Neuquén,3200.0,316
2017,4,Neuquén,4000.0,26902
2017,4,Neuquén,4500.0,104
2017,4,Neuquén,6000.0,122
2017,4,Neuquén,6400.0,40380
2017,4,Neuquén,9000.0,808
2017,4,Neuquén,10100.0,517
2017,4,Neuquén,12300.0,20777
2017,4,Neuquén,16000.0,7
2017,4,Neuquén,19000.0,1863
2017,4,Neuquén,20500.0,134
2017,4,Neuquén,25100.0,7327
2017,4,Neuquén,31000.0,242
2017,4,Neuquén,50100.0,5579
2017,4,Neuquén,100100.0,680
2017,4,Río Negro,0.256,3719
2017,4,Río Negro,0.512,409
2017,4,Río Negro,1000.0,198
2017,4,Río Negro,1200.0,5400
2017,4,Río Negro,2200.0,2161
2017,4,Río Negro,3200.0,525
2017,4,Río Negro,4000.0,3939
2017,4,Río Negro,4500.0,267
2017,4,Río Negro,6000.0,838
2017,4,Río Negro,6400.0,73348
2017,4,Río Negro,9000.0,73
2017,4,Río Negro,10100.0,412
2017,4,Río Negro,12300.0,11382
2017,4,Río Negro,16000.0,21
2017,4,Río Negro,19000.0,1020
2017,4,Río Negro,20500.0,79
2017,4,Río Negro,25100.0,3354
2017,4,Río Negro,31000.0,128
2017,4,Río Negro,41000.0,2
2017,4,Río Negro,50100.0,2158
2017,4,Río Negro,100100.0,245
2017,4,Salta,0.512,636
2017,4,Salta,1000.0,132
2017,4,Salta,1200.0,4143
2017,4,Salta,2200.0,15
2017,4,Salta,3200.0,158
2017,4,Salta,4000.0,21608
2017,4,Salta,6000.0,6
2017,4,Salta,6400.0,51497
2017,4,Salta,9000.0,7733
2017,4,Salta,10100.0,25109
2017,4,Salta,12300.0,5668
2017,4,Salta,16000.0,189
2017,4,Salta,20500.0,13111
2017,4,Salta,25100.0,3229
2017,4,Salta,31000.0,359
2017,4,Salta,50100.0,45
2017,4,Salta,155000.0,10
2017,4,San Juan,0.512,22
2017,4,San Juan,1000.0,1031
2017,4,San Juan,1200.0,31
2017,4,San Juan,3200.0,27
2017,4,San Juan,4000.0,1677
2017,4,San Juan,6000.0,1
2017,4,San Juan,6400.0,55820
2017,4,San Juan,9000.0,1
2017,4,San Juan,10100.0,8
2017,4,San Juan,31000.0,4
2017,4,San Luis,0.256,1902
2017,4,San Luis,0.512,59
2017,4,San Luis,1000.0,1
2017,4,San Luis,1200.0,100
2017,4,San Luis,3200.0,5
2017,4,San Luis,4000.0,1136
2017,4,San Luis,6000.0,1
2017,4,San Luis,6400.0,11680
2017,4,San Luis,9000.0,7
2017,4,San Luis,10100.0,1
2017,4,San Luis,25100.0,1
2017,4,San Luis,31000.0,7
2017,4,Santa Cruz,0.512,68
2017,4,Santa Cruz,1200.0,78
2017,4,Santa Cruz,2200.0,143
2017,4,Santa Cruz,3200.0,2972
2017,4,Santa Cruz,4000.0,6294
2017,4,Santa Cruz,6000.0,1610
2017,4,Santa Cruz,6400.0,18054
2017,4,Santa Cruz,9000.0,2
2017,4,Santa Cruz,10100.0,653
2017,4,Santa Cruz,16000.0,66
2017,4,Santa Cruz,20500.0,34
2017,4,Santa Cruz,31000.0,1
2017,4,Santa Cruz,41000.0,3
2017,4,Santa Fe,0.256,14119
2017,4,Santa Fe,0.512,3109
2017,4,Santa Fe,1000.0,7637
2017,4,Santa Fe,1200.0,26495
2017,4,Santa Fe,2200.0,3994
2017,4,Santa Fe,3200.0,10009
2017,4,Santa Fe,4000.0,93221
2017,4,Santa Fe,4500.0,8068
